2.0	1.000000
2.0	1.000010
2.0	1.000020
2.0	1.000030
2.0	1.000040
2.0	1.000050
2.0	1.000060
2.0	1.000070
2.0	1.000080
2.0	1.000090
2.0	1.000100
2.0	1.000110
2.0	1.000120
2.0	1.000130
2.0	1.000140
2.0	1.000150
2.0	1.000160
2.0	1.000170
2.0	1.000180
2.0	1.000190
2.0	1.000200
2.0	1.000210
2.0	1.000220
2.0	1.000230
2.0	1.000240
2.0	1.000250
2.0	1.000260
2.0	1.000270
2.0	1.000280
2.0	1.000290
2.0	1.000300
2.0	1.000310
2.0	1.000320
2.0	1.000330
2.0	1.000340
2.0	1.000350
2.0	1.000360
2.0	1.000370
2.0	1.000380
2.0	1.000390
2.0	1.000400
2.0	1.000410
2.0	1.000420
2.0	1.000430
2.0	1.000440
2.0	1.000450
2.0	1.000460
2.0	1.000470
2.0	1.000480
2.0	1.000490
2.0	1.000500
2.0	1.000510
2.0	1.000520
2.0	1.000530
2.0	1.000540
2.0	1.000550
2.0	1.000560
2.0	1.000570
2.0	1.000580
2.0	1.000590
2.0	1.000600
2.0	1.000610
2.0	1.000620
2.0	1.000630
2.0	1.000640
2.0	1.000650
2.0	1.000660
2.0	1.000670
2.0	1.000680
2.0	1.000690
2.0	1.000700
2.0	1.000710
2.0	1.000720
2.0	1.000730
2.0	1.000740
2.0	1.000750
2.0	1.000760
2.0	1.000770
2.0	1.000780
2.0	1.000790
2.0	1.000800
2.0	1.000810
2.0	1.000820
2.0	1.000830
2.0	1.000840
2.0	1.000850
2.0	1.000860
2.0	1.000870
2.0	1.000880
2.0	1.000890
2.0	1.000900
2.0	1.000910
2.0	1.000920
2.0	1.000930
2.0	1.000940
2.0	1.000950
2.0	1.000960
2.0	1.000970
2.0	1.000980
2.0	1.000990
2.0	1.001001
2.0	1.001011
2.0	1.001021
2.0	1.001031
2.0	1.001041
2.0	1.001051
2.0	1.001061
2.0	1.001071
2.0	1.001081
2.0	1.001091
2.0	1.001101
2.0	1.001111
2.0	1.001121
2.0	1.001131
